filing,file_size_bytes,visible_text_chars,table_count,turnover_occurrences,profit_before_tax_occurrences,total_assets_occurrences,net_assets_occurrences
Prod223_4305_00499145_20251231.html,567401,22622,81,5,0,1,1
Prod223_4305_04669370_20260331.html,19928,3889,1,0,0,0,1
Prod223_4305_05224316_20250930.html,60602,11747,110,0,0,1,0
Prod223_4305_05379091_20260331.html,28170,9999,2,0,0,1,1
Prod223_4305_07569691_20251231.html,500178,19581,59,1,0,0,2
Prod223_4305_07834454_20260831.html,61000,14006,10,7,0,1,1
Prod223_4305_08572015_20251231.html,25712,5284,0,0,0,0,0
Prod223_4305_09488707_20260430.html,130823,18235,269,2,0,1,1
Prod223_4305_11673398_20251130.html,20034,3878,1,0,0,1,1
Prod223_4305_12489532_20260827.html,59988,7959,3,0,0,1,1
Prod223_4305_14481528_20260228.html,28954,10031,2,0,0,1,1
Prod223_4305_14702573_20250331.html,34546,5221,6,0,0,1,1
Prod223_4305_15542888_20260331.html,37965,11384,5,1,0,1,0
Prod223_4305_15755110_20260630.html,69668,7462,0,4,0,0,1
Prod223_4305_16072271_20251130.html,18347,3734,1,0,0,0,1
Prod223_4305_16125195_20251231.html,21926,5846,2,0,0,1,1
Prod223_4305_16133576_20251231.html,109556,16045,243,2,0,1,0
Prod223_4305_16167321_20260131.html,18337,3724,1,0,0,0,1
Prod223_4305_SC160135_20251231.html,73225,20190,12,3,0,1,1
Prod223_4305_SC782305_20250930.html,24753,6005,2,0,0,1,1
