filename,company_number,filename_period,file_size_bytes,visible_text_chars,table_count,has_year_reference,has_financial_statement_terms,has_year_ended_phrase,reporting_period_evidence
Prod223_4305_00499145_20251231.html,00499145,20251231,567401,22622,81,True,True,True,YEAR ENDED 31 DECEMBER 2025
Prod223_4305_04669370_20260331.html,04669370,20260331,19928,3889,1,True,True,False,
Prod223_4305_05224316_20250930.html,05224316,20250930,60602,11747,110,True,True,True,YEAR ENDED 30 SEPTEMBER 2025
Prod223_4305_05379091_20260331.html,05379091,20260331,28170,9999,2,True,True,True,Year Ended 31 March 2026
Prod223_4305_07569691_20251231.html,07569691,20251231,500178,19581,59,True,True,True,YEAR ENDED 31 DECEMBER 2025
Prod223_4305_07834454_20260831.html,07834454,20260831,61000,14006,10,True,True,True,Year Ended 31 August 2026
Prod223_4305_08572015_20251231.html,08572015,20251231,25712,5284,0,True,True,True,YEAR ENDED 31 DECEMBER 2025
Prod223_4305_09488707_20260430.html,09488707,20260430,130823,18235,269,True,True,True,period ended 30 April 2026
Prod223_4305_11673398_20251130.html,11673398,20251130,20034,3878,1,True,True,True,year ended 30 November 2025
Prod223_4305_12489532_20260827.html,12489532,20260827,59988,7959,3,True,True,True,period ended 27 August 2026
Prod223_4305_14481528_20260228.html,14481528,20260228,28954,10031,2,True,True,True,Year Ended 28 February 2026
Prod223_4305_14702573_20250331.html,14702573,20250331,34546,5221,6,True,True,True,period ended 31/03/2025
Prod223_4305_15542888_20260331.html,15542888,20260331,37965,11384,5,True,True,False,
Prod223_4305_15755110_20260630.html,15755110,20260630,69668,7462,0,True,True,True,year ended 30 June 2026
Prod223_4305_16072271_20251130.html,16072271,20251130,18347,3734,1,True,True,False,
Prod223_4305_16125195_20251231.html,16125195,20251231,21926,5846,2,True,True,True,period ended 31 December 2025
Prod223_4305_16133576_20251231.html,16133576,20251231,109556,16045,243,True,True,True,period ended 31 December 2025
Prod223_4305_16167321_20260131.html,16167321,20260131,18337,3724,1,True,True,False,
Prod223_4305_SC160135_20251231.html,SC160135,20251231,73225,20190,12,True,True,True,YEAR ENDED 31 DECEMBER 2025
Prod223_4305_SC782305_20250930.html,SC782305,20250930,24753,6005,2,True,True,True,period ended 30 September 2025
